Situation,Relationship-A,Relationship-B,Formality,Title,Wrong Titles,Completed Sentence
graduation ceremony,stranger,stranger,Formal,先生,"爸爸 师傅 小姐姐","先生您今天气色真好"
in restaurant,waiter,customer,Informal,阿姨,"女士 母亲 小姐姐","阿姨你需要帮忙吗"
wedding,parent,kid,Formal,母亲,"妈妈 阿姨 小姐姐","母亲请问我可以点一杯茶吗"
on the street,stranger,stranger,Informal,叔叔,"先生 父亲 师傅","叔叔您要不要坐下喝杯茶"
public speech,stranger,stranger,Formal,女士,"阿姨 小姐姐 妈妈","女士请问火车站怎么走"
in the park,parent,kid,Informal,爸爸,"父亲 先生 叔叔","爸爸我想点一个宫保鸡丁"
in restaurant,vendor,customer,Formal,父亲,"爸爸 师傅 叔叔","父亲请问我可以点一杯茶吗"
casual chat,stranger,stranger,Informal,小姐姐,"女士 妈妈 阿姨","小姐姐你今天气色真好"
in shop,waiter,customer,Formal,先生,"叔叔 师傅 爸爸","先生您今天气色真好"
in the park,waiter,customer,Informal,师傅,"先生 女士 父亲","师傅你要不要坐下喝杯茶"
wedding,parent,kid,Formal,母亲,"妈妈 小姐姐 阿姨","母亲您要不要坐下喝杯茶"
casual chat,stranger,stranger,Informal,小姐姐,"女士 妈妈 母亲","小姐姐你需要帮忙吗"
in shop,vendor,customer,Formal,先生,"叔叔 师傅 爸爸","先生我想点一个宫保鸡丁"
in the park,waiter,customer,Informal,叔叔,"先生 父亲 师傅","叔叔请问 火车站 怎么 走"
graduation ceremony,stranger,stranger,Formal,女士,"妈妈 阿姨 小姐姐","女士我想点一个宫保鸡丁"
on the street,stranger,stranger,Informal,阿姨,"母亲 女士 妈妈","阿姨你今天 气色 真好"
public speech,stranger,stranger,Formal,先生,"爸爸 叔叔 师傅","先生您需要帮忙吗"
in restaurant,waiter,customer,Informal,师傅,"先生 父亲 叔叔","师傅你要不要坐下喝杯茶"
in shop,vendor,customer,Informal,阿姨,"母亲 女士 妈妈","阿姨你需要帮忙吗"
in the park,parent,kid,Informal,妈妈,"母亲 女士 小姐姐","妈妈您今天 气色 真好"
graduation ceremony,stranger,stranger,Formal,女士,"妈妈 小姐姐 阿姨","女士请问我可以点一杯茶吗"
public speech,stranger,stranger,Formal,先生,"师傅 叔叔 爸爸","先生请问 火车站 怎么 走"
wedding,parent,kid,Formal,父亲,"爸爸 师傅 叔叔","父亲您要不要坐下喝杯茶"
casual chat,parent,kid,Informal,妈妈,"母亲 女士 小姐姐","妈妈你今天 气色 真好"
on the street,stranger,stranger,Informal,阿姨,"母亲 女士 妈妈","阿姨请问我可以点一杯茶吗"
in the park,waiter,customer,Informal,师傅,"先生 父亲 叔叔","师傅我想点一个宫保鸡丁"
in restaurant,vendor,customer,Formal,女士,"妈妈 小姐姐 阿姨","女士您需要帮忙吗"
in shop,waiter,customer,Informal,叔叔,"先生 父亲 师傅","叔叔你要不要坐下喝杯茶"
in restaurant,waiter,customer,Informal,小姐姐,"女士 妈妈 母亲","小姐姐你今天气色真好"
in shop,vendor,customer,Formal,先生,"叔叔 师傅 爸爸","先生我想点一个宫保鸡丁"
public speech,stranger,stranger,Formal,母亲,"妈妈 阿姨 小姐姐","母亲您今天气色真好"
wedding,parent,kid,Formal,女士,"小姐姐 阿姨 妈妈","女士您要不要坐下喝杯茶"
graduation ceremony,stranger,stranger,Formal,先生,"爸爸 师傅 小姐姐","先生请问火车站怎么走"
in restaurant,waiter,customer,Informal,叔叔,"先生 父亲 师傅","叔叔你需要帮忙吗"
on the street,stranger,stranger,Informal,师傅,"父亲 女士 先生","师傅请问火车站怎么走"
casual chat,stranger,stranger,Informal,小姐姐,"女士 妈妈 母亲","小姐姐你要不要坐下喝杯茶"
in restaurant,vendor,customer,Informal,阿姨,"女士 母亲 妈妈","阿姨你需要帮忙吗"
in the park,parent,kid,Informal,爸爸,"父亲 先生 叔叔","爸爸请问火车站怎么走"
in shop,waiter,customer,Informal,妈妈,"母亲 女士 小姐姐","妈妈你要不要坐下喝杯茶"
wedding,parent,kid,Formal,母亲,"妈妈 阿姨 小姐姐","母亲您今天 气色 真好"
casual chat,parent,kid,Informal,爸爸,"父亲 先生 叔叔","爸爸你要不要坐下喝杯茶"
in the park,parent,kid,Informal,妈妈,"母亲 女士 小姐姐","妈妈你需要帮忙吗"
graduation ceremony,parent,kid,Formal,父亲,"爸爸 师傅 叔叔","父亲请问火车站怎么走"
wedding,parent,kid,Formal,母亲,"阿姨 妈妈 小姐姐","母亲请问我可以点一杯茶吗"
casual chat,parent,kid,Informal,爸爸,"父亲 师傅 叔叔","爸爸你今天气色真好"
graduation ceremony,stranger,stranger,Formal,先生,"叔叔 师傅 爸爸","先生请问火车站怎么走"
public speech,stranger,stranger,Formal,女士,"阿姨 妈妈 小姐姐","女士您要不要坐下喝杯茶"
in restaurant,vendor,customer,Informal,师傅,"先生 父亲 叔叔","师傅我想点一个宫保鸡丁"
on the street,stranger,stranger,Informal,阿姨,"女士 母亲 妈妈","阿姨你需要帮忙吗"
in shop,waiter,customer,Formal,先生,"爸爸 师傅 叔叔","先生请问火车站怎么走"
in the park,waiter,customer,Informal,叔叔,"先生 父亲 师傅","叔叔你今天气色真好"
in restaurant,waiter,customer,Informal,小姐姐,"女士 母亲 妈妈","小姐姐请问我可以点一杯茶吗"
public speech,stranger,stranger,Formal,先生,"爸爸 小姐姐 师傅","先生您今天气色真好"
in shop,vendor,customer,Informal,师傅,"先生 爸爸 小姐姐","师傅你要不要坐下喝杯茶"
on the street,stranger,stranger,Informal,叔叔,"父亲 先生 师傅","叔叔你今天气色真好"
casual chat,stranger,stranger,Informal,阿姨,"妈妈 女士 母亲","阿姨请问我可以点一杯茶吗"
in restaurant,waiter,customer,Formal,女士,"小姐姐 阿姨 妈妈","女士您需要帮忙吗"
in shop,waiter,customer,Informal,小姐姐,"女士 妈妈 母亲","小姐姐你要不要坐下喝杯茶"
in the park,parent,kid,Informal,妈妈,"母亲 女士 小姐姐","妈妈我想点一个宫保鸡丁"
casual chat,parent,kid,Informal,妈妈,"母亲 女士 小姐姐","妈妈今天天气真不错"
in the park,parent,kid,Informal,爸爸,"父亲 先生 师傅","爸爸请稍等一下"
graduation ceremony,parent,kid,Formal,父亲,"爸爸 师傅 叔叔","父亲今天天气真不错"
public speech,stranger,stranger,Formal,先生,"叔叔 爸爸 师傅","先生请稍等一下"
in shop,vendor,customer,Formal,女士,"阿姨 小姐姐 妈妈","女士今天天气真不错"
in restaurant,waiter,customer,Informal,阿姨,"女士 母亲 妈妈","阿姨请稍等一下"
on the street,stranger,stranger,Informal,叔叔,"先生 父亲 师傅","叔叔今天天气真不错"
in the park,waiter,customer,Informal,师傅,"先生 父亲 叔叔","师傅请稍等一下"
in shop,waiter,customer,Formal,先生,"爸爸 师傅 叔叔","先生今天天气真不错"
casual chat,stranger,stranger,Informal,小姐姐,"女士 妈妈 母亲","小姐姐请稍等一下"
wedding,parent,kid,Formal,母亲,"妈妈 阿姨 小姐姐","母亲今天天气真不错"
casual chat,parent,kid,Informal,爸爸,"父亲 叔叔 师傅","爸爸请稍等一下"
in shop,vendor,customer,Formal,先生,"叔叔 师傅 爸爸","先生今天天气真不错"
on the street,stranger,stranger,Informal,师傅,"先生 父亲 叔叔","师傅请稍等一下"
in restaurant,waiter,customer,Informal,阿姨,"女士 妈妈 母亲","阿姨今天天气真不错"
graduation ceremony,stranger,stranger,Formal,女士,"妈妈 小姐姐 阿姨","女士请稍等一下"
public speech,stranger,stranger,Formal,先生,"爸爸 小姐姐 师傅","先生今天天气真不错"
in the park,waiter,customer,Informal,叔叔,"先生 父亲 师傅","叔叔请稍等一下"
in shop,waiter,customer,Informal,小姐姐,"女士 妈妈 母亲","小姐姐今天天气真不错"
in restaurant,vendor,customer,Formal,女士,"妈妈 阿姨 小姐姐","女士请稍等一下"
